,Atk_Params,Def_Params
ATA,1.237182151940102,-0.8640919852444761
BOL,0.8547999905203617,-0.7499501973908862
CAG,0.606601425012619,-0.5486938435425963
EMP,0.9978517090854296,-0.5051075844131043
FIO,1.1380485278703034,-0.8193734004300179
GEN,0.3738253240566229,-0.676658131118424
INT,1.4790944003528201,-1.2547700493290492
JUV,1.0912282097031474,-1.1395551839779403
LAZ,1.4176091980281038,-0.6661807523206238
MIL,1.2808619162045158,-1.306371232811829
NAP,1.3457761281936165,-1.3023747759225304
ROM,1.135148145565768,-0.9874418241749112
SAL,0.581641184833747,-0.41477440134876575
SAM,0.901023362885505,-0.6134493882657575
SAS,1.2370141391593898,-0.5490616678449984
SPE,0.794582558937982,-0.5024454924698889
TOR,0.8786149408180649,-1.047316240094485
UDI,1.179791752843247,-0.6816192810210489
VEN,0.6052129487441766,-0.5352373125072125
VER,1.245005519424474,-0.6607900311605526
