,nome,team,img,titolare,entrato,squalificato,infortunato,inutilizzato,presenze,minuti_giocati,sostituito,cartellini_gialli,cartellini_rossi,%_bonus_match,%_malus_match,%_match_voto,%_sostituzione
0,Luperto,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/LUPERTO.png,16,2,2,3,9,18,1418,1,6,1,5.56,38.89,50.0,6.25
0,Lykogiannis,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/LYKOGIANNIS.png,18,7,0,1,6,25,1607,8,2,0,0.0,8.0,68.75,44.44
0,Maehle,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/MAEHLE.png,14,9,0,1,8,23,1331,5,2,0,4.35,8.7,62.5,35.71
0,Magnani,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/MAGNANI.png,8,9,1,2,12,17,749,4,3,1,0.0,23.53,43.75,50.0
0,Maitland-Niles,Roma,https://content.fantacalcio.it/web/campioncini/card2021/MAITLAND-NILES.png,5,1,0,0,26,6,388,4,0,0,0.0,0.0,18.75,80.0
0,Maksimovic,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/MAKSIMOVIC.png,13,1,0,9,9,14,1116,2,2,0,0.0,14.29,43.75,15.38
0,Malcuit,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MALCUIT.png,2,4,0,11,15,6,241,2,3,0,16.67,50.0,9.38,100.0
0,Mancini,Roma,https://content.fantacalcio.it/web/campioncini/card2021/MANCINI.png,28,0,3,1,0,28,2438,4,12,1,0.0,46.43,87.5,14.29
0,Marchizza,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/MARCHIZZA.png,16,3,0,10,3,19,1351,8,4,0,5.26,26.32,59.38,50.0
0,Mari,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/PABLO-MARI.png,8,0,1,0,23,8,712,0,0,1,0.0,12.5,25.0,0.0
0,Mario-Rui,Napoli,https://content.fantacalcio.it/web/campioncini/card2021/MARIO-RUI.png,29,0,1,2,0,29,2575,8,7,0,17.24,24.14,90.62,27.59
0,Martinez-Quarta,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/MARTINEZ-QUARTA.png,15,3,1,1,12,18,1295,3,7,0,5.56,38.89,50.0,20.0
0,Marusic,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/MARUSIC.png,25,2,1,1,3,27,2243,3,4,1,3.7,18.52,84.38,12.0
0,Masiello,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/MASIELLO.png,6,1,0,0,25,7,517,2,3,0,0.0,42.86,21.88,33.33
0,Mateju,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,2,0,0,1,29,2,135,1,1,0,50.0,50.0,6.25,50.0
0,Mazzocchi,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/MAZZOCCHI.png,23,3,1,2,3,26,1906,9,4,0,3.85,15.38,78.12,39.13
0,Mbaye,Bologna,https://content.fantacalcio.it/web/campioncini/card2021/MBAYE.png,1,4,0,3,24,5,87,1,0,0,0.0,0.0,3.12,100.0
0,Milenkovic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/MILENKOVIC.png,27,0,2,0,3,27,2344,3,7,1,3.7,29.63,84.38,11.11
0,Modolo,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/MODOLO.png,4,2,1,2,23,6,390,0,2,0,0.0,33.33,15.62,0.0
0,Molina-N,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/MOLINA-N.png,24,4,1,1,2,28,2066,11,4,1,21.43,17.86,87.5,45.83
0,Molinaro,Venezia,https://content.fantacalcio.it/web/campioncini/card2021/MOLINARO.png,6,2,0,0,24,8,549,2,0,0,12.5,0.0,21.88,33.33
0,Muldur,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/MULDUR.png,19,7,0,0,6,26,1610,6,5,0,0.0,19.23,62.5,31.58
0,Murru,Sampdoria,https://content.fantacalcio.it/web/campioncini/card2021/MURRU.png,12,8,1,0,11,20,924,11,5,0,5.0,25.0,53.12,91.67
0,Nastasic,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/NASTASIC.png,2,3,0,5,22,5,217,0,1,0,0.0,20.0,12.5,0.0
0,Nikolaou,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/NIKOLAOU.png,30,0,1,0,1,30,2700,0,5,0,0.0,20.0,93.75,0.0
0,Nuytinck,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/NUYTINCK.png,20,2,0,3,7,22,1736,5,0,0,4.55,0.0,68.75,25.0
0,Obert,Cagliari,https://content.fantacalcio.it/web/campioncini/card2021/OBERT.png,3,3,0,0,26,6,273,2,0,0,0.0,0.0,12.5,66.67
0,Odriozola,Fiorentina,https://content.fantacalcio.it/web/campioncini/card2021/ODRIOZOLA.png,17,5,1,3,6,22,1579,5,4,1,9.09,22.73,68.75,29.41
0,Ostigard,Genoa,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,7,2,2,0,21,9,632,0,1,2,0.0,33.33,28.12,0.0
0,Palomino,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PALOMINO.png,23,4,1,3,1,27,2097,3,7,0,3.7,25.93,81.25,13.04
0,Parisi,Empoli,https://content.fantacalcio.it/web/campioncini/card2021/PARISI.png,12,7,1,5,7,19,1121,5,5,0,5.26,26.32,53.12,41.67
0,Patric,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/PATRIC.png,14,5,1,0,12,19,1263,4,4,1,5.26,26.32,50.0,28.57
0,Pellegrini-Lu,Juventus,https://content.fantacalcio.it/web/campioncini/card2021/PELLEGRINI-LU.png,13,2,1,0,16,15,969,9,5,0,6.67,33.33,43.75,69.23
0,Peluso,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/PELUSO.png,0,1,0,3,28,1,1,0,0,0,0.0,0.0,0.0,0.0
0,Perez-N,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/PEREZ-N.png,12,1,0,4,15,13,1096,2,4,0,7.69,30.77,40.62,16.67
0,Pezzella-Giu,Atalanta,https://content.fantacalcio.it/web/campioncini/card2021/PEZZELLA-GIU.png,10,10,0,0,12,20,1033,5,3,0,10.0,15.0,46.88,50.0
0,Radovanovic,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/RADOVANOVIC.png,6,2,0,1,23,8,515,3,2,0,12.5,25.0,21.88,50.0
0,Radu,Lazio,https://content.fantacalcio.it/web/campioncini/card2021/RADU.png,5,3,0,2,22,8,485,2,2,0,0.0,25.0,21.88,40.0
0,Ranieri-L,Salernitana,https://content.fantacalcio.it/web/campioncini/card2021/RANIERI-L.png,22,2,1,0,7,24,1847,14,7,0,4.17,29.17,75.0,63.64
0,Ranocchia,Inter,https://content.fantacalcio.it/web/campioncini/card2021/RANOCCHIA.png,3,2,0,2,25,5,321,0,1,0,0.0,20.0,15.62,0.0
0,Reca,Spezia,https://content.fantacalcio.it/web/campioncini/card2021/RECA.png,19,1,0,7,5,20,1574,7,3,0,10.0,15.0,62.5,36.84
0,Retsos,Verona,https://content.fantacalcio.it/web/campioncini/card2021/NO-CAMPIONCINO.png,1,3,0,3,25,4,42,1,0,0,0.0,0.0,3.12,100.0
0,Rodrigo-Becao,Udinese,https://content.fantacalcio.it/web/campioncini/card2021/RODRIGO-BECAO.png,28,0,1,1,2,28,2505,1,9,0,10.71,32.14,87.5,3.57
0,Rodriguez-R,Torino,https://content.fantacalcio.it/web/campioncini/card2021/RODRIGUEZ-R.png,21,6,0,3,2,27,1930,4,3,0,0.0,11.11,78.12,19.05
0,Rogerio,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/ROGERIO.png,17,2,1,2,10,19,1529,6,5,0,5.26,26.32,59.38,35.29
0,Romagna,Sassuolo,https://content.fantacalcio.it/web/campioncini/card2021/ROMAGNA.png,3,0,0,0,32,0,435,2,2,0,0.0,0.0,0.0,66.67
0,Romagnoli,Milan,https://content.fantacalcio.it/web/campioncini/card2021/ROMAGNOLI.png,16,2,1,2,11,18,1398,1,4,1,5.56,27.78,53.12,6.25
