6,7ª,0,0,7.0,7.0,Belec
7,8ª,0,-2,6.5,4.5,Belec
8,9ª,0,-4,5.5,1.5,Belec
9,10ª,0,-1,6.0,5.0,Belec
10,11ª,0,-1,5.5,4.5,Belec
11,12ª,0,-3,6.0,3.0,Belec
12,13ª,0,-2,6.5,4.5,Belec
13,14ª,0,-1,6.5,5.5,Belec
14,15ª,0,-2,6.0,4.0,Belec
15,16ª,0,-2,6.5,4.5,Belec
16,17ª,0,-4,4.0,0.0,Belec
17,18ª,0,0,0.0,0.0,Belec
18,19ª,0,0,0.0,0.0,Belec
19,20ª,0,0,0.0,0.0,Belec
20,21ª,0,-1,6.0,5.0,Belec
21,22ª,0,-3,6.0,3.0,Belec
22,23ª,0,-4,6.5,2.5,Belec
23,24ª,0,0,0.0,0.0,Belec
24,25ª,0,0,0.0,0.0,Belec
25,26ª,0,0,0.0,0.0,Belec
26,27ª,0,0,0.0,0.0,Belec
27,28ª,0,0,0.0,0.0,Belec
28,29ª,0,0,0.0,0.0,Belec
29,30ª,0,0,0.0,0.0,Belec
30,31ª,0,0,0.0,0.0,Belec
31,32ª,0,0,0.0,0.0,Belec
0,1ª,0,0,0,0,Berardi-A
1,2ª,0,0,0,0,Berardi-A
2,3ª,0,0,0,0,Berardi-A
3,4ª,0,0,0,0,Berardi-A
4,5ª,0,0,0,0,Berardi-A
5,6ª,0,0,0,0,Berardi-A
6,7ª,0,0,0,0,Berardi-A
7,8ª,0,0,0,0,Berardi-A
8,9ª,0,0,0,0,Berardi-A
9,10ª,0,0,0,0,Berardi-A
10,11ª,0,0,0,0,Berardi-A
11,12ª,0,0,0,0,Berardi-A
12,13ª,0,0,0,0,Berardi-A
13,14ª,0,0,0,0,Berardi-A
14,15ª,0,0,0,0,Berardi-A
15,16ª,0,0,0,0,Berardi-A
16,17ª,0,0,0,0,Berardi-A
17,18ª,0,0,0,0,Berardi-A
18,19ª,0,0,0,0,Berardi-A
19,20ª,0,0,0,0,Berardi-A
20,21ª,0,0,0,0,Berardi-A
21,22ª,0,0,0,0,Berardi-A
22,23ª,0,0,0,0,Berardi-A
23,24ª,0,0,0,0,Berardi-A
24,25ª,0,0,0,0,Berardi-A
25,26ª,0,0,0,0,Berardi-A
26,27ª,0,0,0,0,Berardi-A
27,28ª,0,0,0,0,Berardi-A
28,29ª,0,0,0,0,Berardi-A
29,30ª,0,0,0,0,Berardi-A
30,31ª,0,0,0,0,Berardi-A
31,32ª,0,0,0,0,Berardi-A
0,1ª,0,0.0,0.0,0,Berisha
1,2ª,0,0.0,0.0,0,Berisha
2,3ª,0,0.0,0.0,0,Berisha
3,4ª,0,0.0,0.0,0,Berisha
4,5ª,0,0.0,0.0,0,Berisha
